ID,date,line,schedule,unplanned_stoppages,planned_stoppages,work_station,equipment,failure_type,sub_code,failure_description
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3203,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,02:47,,30,,,,,Tool_Change
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3204,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,03:10,10,,AS_340,Conveyor_Belt,Material_Failure,Wrong_Part,Air pressure dropped below threshold
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3205,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,03:33,10,,WS_430,Hydraulic_Press,Quality_Failure,Visual_Defect,Tool changeover took longer than expected
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3206,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,03:43,5,,MS_120,Hydraulic_Press,Material_Failure,Missing_Component,Part stuck in fixture
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3207,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,04:16,20,,AS_310,Gluing_Robot,Mechanical_Failure,Motor_Failure,PLC reset performed
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3208,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,04:25,2,,MS_110,Spot_Welder,Welding_Failure,Cold_Weld,Welding wire feeder jammed
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3209,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,04:45,5,,MS_130,Press_Machine,Welding_Failure,Cold_Weld,Pneumatic valve replaced
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3210,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,05:24,,20,,,,,Team_Meeting
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3211,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,05:36,10,,BS_210,Hydraulic_Press,Electrical_Failure,PLC_Error,Conveyor belt misaligned
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3212,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,05:36,,15,,,,,Tool_Change
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3213,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,05:38,3,,BS_220,Riveting_Tool,Mechanical_Failure,Bearing_Worn,Emergency stop triggered
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3214,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,05:46,7,,BS_210,Conveyor_Belt,Quality_Failure,Out_Of_Spec,Tool changeover took longer than expected
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3215,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,05:54,2,,WS_420,Press_Machine,Mechanical_Failure,Bearing_Worn,Trainee made the wrong fix
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3216,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,05:56,,20,,,,,Shift_Handover
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3217,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,22:05,3,,BS_230,CNC_Mill,Electrical_Failure,Sensor_Down,Air pressure dropped below threshold
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3218,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,22:10,2,,WS_430,Fixture_Table,Welding_Failure,Weld_Crack,Cable replaced
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3219,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,22:11,15,,WS_410,Fixture_Table,Tooling_Failure,Tool_Worn,Part stuck in fixture
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3220,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,22:19,7,,AS_330,Riveting_Tool,Mechanical_Failure,Pneumatic_Leak,Cooling fan failure
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3221,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,22:19,,20,,,,,Lunch
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3222,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,22:22,2,,AS_310,Hydraulic_Press,Electrical_Failure,PLC_Error,Operator called maintenance
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3223,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,22:59,7,,BS_210,Gluing_Robot,Welding_Failure,Cold_Weld,Communication error with PLC
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3224,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,23:11,15,,BS_220,CNC_Mill,Tooling_Failure,Tool_Worn,Emergency stop triggered
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3225,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,23:11,,15,,,,,Team_Meeting
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3226,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,23:21,5,,BS_220,Gluing_Robot,Electrical_Failure,PLC_Error,Operator called maintenance
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3227,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,23:25,,10,,,,,Lunch
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3228,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,23:36,7,,AS_320,CNC_Mill,Quality_Failure,Visual_Defect,Replaced worn bearing
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3229,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,23:41,5,,MS_120,Riveting_Tool,Tooling_Failure,Tool_Worn,Tooling required adjustment
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3230,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,23:45,2,,WS_410,Fixture_Table,Electrical_Failure,PLC_Error,Cable replaced
08042026 Shift C.xlsmD MERCEDEZ GLE 53 FRONT AXLE_3231,08/04/2026,D MERCEDEZ GLE 53 FRONT AXLE,23:55,10,,BS_210,Welding_Robot,Mechanical_Failure,Belt_Broken,Emergency stop triggered
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3232,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,06:09,5,,MS_120,Riveting_Tool,Electrical_Failure,PLC_Error,Robot path deviation detected
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3233,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,06:10,2,,AS_340,Conveyor_Belt,Electrical_Failure,Short_Circuit,Cooling fan failure
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3234,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,06:15,3,,WS_420,Gluing_Robot,Quality_Failure,Dimension_Error,Part stuck in fixture
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3235,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,06:47,45,,WS_410,Welding_Robot,Tooling_Failure,Misalignment,Robot path deviation detected
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3236,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,07:00,15,,AS_320,Gluing_Robot,Quality_Failure,Out_Of_Spec,Pneumatic valve replaced
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3237,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,07:00,5,,MS_120,Conveyor_Belt,Mechanical_Failure,Motor_Failure,Part stuck in fixture
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3238,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,07:13,10,,WS_410,Welding_Robot,Tooling_Failure,Tool_Broken,Quality scanner failed to read
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3239,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,07:21,20,,MS_110,Quality_Scanner,Mechanical_Failure,Belt_Broken,Cable replaced
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3240,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,07:27,7,,AS_310,Hydraulic_Press,Electrical_Failure,PLC_Error,Pneumatic valve replaced
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3241,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,07:41,2,,WS_420,Riveting_Tool,Welding_Failure,Burn_Through,Sensor needs calibration
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3242,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,07:41,15,,AS_310,Fixture_Table,Electrical_Failure,Short_Circuit,Spatter buildup on torch
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3243,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,08:08,7,,WS_420,Press_Machine,Welding_Failure,Spatter_Excess,Air pressure dropped below threshold
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3244,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,08:24,7,,WS_430,Gluing_Robot,Welding_Failure,Spatter_Excess,Sensor needs calibration
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3245,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,08:46,2,,WS_410,Conveyor_Belt,Electrical_Failure,PLC_Error,Robot path deviation detected
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3246,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,08:52,10,,BS_220,Riveting_Tool,Tooling_Failure,Misalignment,Robot path deviation detected
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3247,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,08:57,,30,,,,,Lunch
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3248,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,09:05,2,,AS_310,Welding_Robot,Quality_Failure,Out_Of_Spec,Part stuck in fixture
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3249,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,09:07,10,,BS_210,Conveyor_Belt,Quality_Failure,Dimension_Error,Tool changeover took longer than expected
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3250,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,09:08,,30,,,,,Lunch
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3251,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,09:09,15,,AS_340,Spot_Welder,Welding_Failure,Spatter_Excess,Motor overheated
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3252,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,09:29,,30,,,,,Shift_Handover
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3253,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,09:38,,45,,,,,Break
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3254,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,09:38,,30,,,,,Shift_Handover
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3255,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,10:04,10,,AS_330,Spot_Welder,Tooling_Failure,Tool_Broken,Software reboot required
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3256,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,10:07,10,,MS_120,Quality_Scanner,Material_Failure,Bent_Part,Tooling required adjustment
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3257,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,10:35,10,,AS_340,Riveting_Tool,Welding_Failure,Weld_Porosity,Replaced worn bearing
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3258,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,10:55,3,,AS_330,Quality_Scanner,Tooling_Failure,Misalignment,Software reboot required
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3259,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,11:01,7,,AS_330,Conveyor_Belt,Material_Failure,Missing_Component,Cable replaced
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3260,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,11:04,,5,,,,,Shift_Handover
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3261,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,11:09,10,,MS_110,Conveyor_Belt,Quality_Failure,Visual_Defect,Tooling required adjustment
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3262,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,11:18,15,,BS_210,Hydraulic_Press,Mechanical_Failure,Pneumatic_Leak,Robot stopped responding to commands
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3263,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,11:31,15,,MS_130,Spot_Welder,Material_Failure,Missing_Component,Motor overheated
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3264,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,11:37,10,,MS_120,CNC_Mill,Tooling_Failure,Tool_Worn,Spatter buildup on torch
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3265,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,11:47,2,,WS_410,Hydraulic_Press,Quality_Failure,Visual_Defect,Spatter buildup on torch
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3266,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,11:53,3,,WS_420,Riveting_Tool,Electrical_Failure,Sensor_Down,PLC reset performed
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3267,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,11:59,3,,AS_330,CNC_Mill,Material_Failure,Wrong_Part,Robot stopped responding to commands
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3268,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,12:03,3,,WS_430,Fixture_Table,Quality_Failure,Out_Of_Spec,Operator called maintenance
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3269,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,12:23,,15,,,,,Tool_Change
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3270,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,12:25,3,,MS_120,Riveting_Tool,Tooling_Failure,Tool_Broken,Cooling fan failure
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3271,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,12:37,3,,WS_430,Welding_Robot,Electrical_Failure,Cable_Loose,Quality scanner failed to read
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3272,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,12:44,15,,AS_310,Fixture_Table,Quality_Failure,Dimension_Error,Pneumatic valve replaced
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3273,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,12:54,,15,,,,,Lunch
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3274,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,13:03,20,,MS_110,CNC_Mill,Welding_Failure,Weld_Porosity,Wrong material loaded
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3275,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,13:06,10,,WS_410,Press_Machine,Welding_Failure,Burn_Through,Sensor needs calibration
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3276,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,13:44,7,,AS_340,Hydraulic_Press,Tooling_Failure,Misalignment,Sensor needs calibration
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3277,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,13:56,5,,WS_410,Welding_Robot,Electrical_Failure,Cable_Loose,Communication error with PLC
08052026 Shift A.xlsmD MERCEDEZ GLE 53 C-PILLAR_3278,08/05/2026,D MERCEDEZ GLE 53 C-PILLAR,13:58,3,,AS_310,Riveting_Tool,Electrical_Failure,PLC_Error,Cable replaced
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3279,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,14:20,15,,AS_310,Press_Machine,Electrical_Failure,Sensor_Down,Coolant leak detected
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3280,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,14:20,10,,MS_120,Welding_Robot,Material_Failure,Bent_Part,Tool changeover took longer than expected
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3281,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,14:25,15,,MS_110,Welding_Robot,Mechanical_Failure,Bearing_Worn,Operator called maintenance
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3282,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,14:58,5,,AS_340,Spot_Welder,Material_Failure,Bent_Part,Replaced worn bearing
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3283,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,15:09,10,,AS_340,Welding_Robot,Welding_Failure,Weld_Porosity,Wrong material loaded
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3284,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,15:33,5,,AS_320,Hydraulic_Press,Tooling_Failure,Tool_Worn,Robot path deviation detected
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3285,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,15:57,3,,WS_430,Gluing_Robot,Material_Failure,Wrong_Part,Fixture clamp not closing
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3286,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,15:59,,10,,,,,Shift_Handover
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3287,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,16:24,20,,MS_120,Welding_Robot,Tooling_Failure,Misalignment,Operator called maintenance
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3288,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,16:29,15,,BS_210,Spot_Welder,Welding_Failure,Cold_Weld,Wrong material loaded
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3289,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,16:33,10,,MS_110,Welding_Robot,Mechanical_Failure,Belt_Broken,Fixture clamp not closing
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3290,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,16:35,3,,WS_410,Hydraulic_Press,Quality_Failure,Dimension_Error,Cooling fan failure
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3291,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,16:38,10,,MS_120,Fixture_Table,Material_Failure,Wrong_Material,Coolant leak detected
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3292,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,16:42,3,,BS_220,Hydraulic_Press,Material_Failure,Wrong_Material,Sensor needs calibration
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3293,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,17:07,,15,,,,,Lunch
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3294,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,17:08,10,,BS_230,Spot_Welder,Mechanical_Failure,Pneumatic_Leak,Wrong material loaded
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3295,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,17:26,10,,WS_420,Press_Machine,Electrical_Failure,Sensor_Down,Air pressure dropped below threshold
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3296,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,17:58,,20,,,,,Shift_Handover
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3297,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,18:24,30,,BS_220,Quality_Scanner,Material_Failure,Missing_Component,Part stuck in fixture
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3298,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,19:17,7,,WS_420,Press_Machine,Material_Failure,Wrong_Material,Operator called maintenance
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3299,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,19:22,10,,WS_420,Welding_Robot,Material_Failure,Wrong_Part,Tooling required adjustment
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3300,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,19:23,,5,,,,,Lunch
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3301,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,19:23,7,,WS_430,Spot_Welder,Mechanical_Failure,Pneumatic_Leak,Robot stopped responding to commands
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3302,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,19:28,10,,WS_430,Press_Machine,Tooling_Failure,Tool_Broken,Sensor needs calibration
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3303,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,19:28,,20,,,,,Break
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3304,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,19:48,5,,MS_110,Welding_Robot,Electrical_Failure,Sensor_Down,Cooling fan failure
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3305,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,19:50,,15,,,,,Lunch
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3306,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,20:06,3,,WS_430,Hydraulic_Press,Mechanical_Failure,Motor_Failure,Tool changeover took longer than expected
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3307,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,20:24,7,,BS_210,Quality_Scanner,Material_Failure,Bent_Part,Replaced worn bearing
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3308,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,20:35,,5,,,,,Shift_Handover
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3309,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,20:38,2,,MS_110,Welding_Robot,Mechanical_Failure,Pneumatic_Leak,Robot stopped responding to commands
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3310,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,20:44,5,,WS_410,Spot_Welder,Tooling_Failure,Tool_Broken,Pneumatic valve replaced
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3311,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,20:50,5,,MS_130,Conveyor_Belt,Material_Failure,Wrong_Part,Motor overheated
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3312,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,20:51,5,,BS_220,Press_Machine,Welding_Failure,Weld_Crack,Motor overheated
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3313,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:07,7,,WS_420,Gluing_Robot,Quality_Failure,Out_Of_Spec,Sensor needs calibration
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3314,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:09,7,,MS_120,Hydraulic_Press,Quality_Failure,Visual_Defect,Robot stopped responding to commands
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3315,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:18,,10,,,,,Changeover
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3316,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:24,7,,BS_230,Conveyor_Belt,Material_Failure,Bent_Part,Fixture clamp not closing
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3317,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:31,5,,WS_420,CNC_Mill,Tooling_Failure,Misalignment,Part stuck in fixture
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3318,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:32,5,,MS_110,Welding_Robot,Mechanical_Failure,Motor_Failure,Coolant leak detected
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3319,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:37,3,,BS_220,Riveting_Tool,Electrical_Failure,Short_Circuit,Conveyor belt misaligned
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3320,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:41,2,,BS_220,Conveyor_Belt,Welding_Failure,Weld_Porosity,Trainee made the wrong fix
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3321,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:47,2,,WS_430,Gluing_Robot,Quality_Failure,Dimension_Error,Robot stopped responding to commands
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3322,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:49,20,,BS_230,Press_Machine,Welding_Failure,Cold_Weld,Cooling fan failure
08052026 Shift B.xlsmA MERCEDEZ GLE 53 INST PANEL_3323,08/05/2026,A MERCEDEZ GLE 53 INST PANEL,21:58,7,,WS_410,Press_Machine,Quality_Failure,Dimension_Error,PLC reset performed
08052026 Shift B.xlsmC BMW 420D B-PILLAR_3324,08/05/2026,C BMW 420D B-PILLAR,14:03,3,,BS_220,CNC_Mill,Electrical_Failure,Cable_Loose,Wrong material loaded
08052026 Shift B.xlsmC BMW 420D B-PILLAR_3325,08/05/2026,C BMW 420D B-PILLAR,14:22,5,,BS_210,CNC_Mill,Welding_Failure,Burn_Through,Replaced worn bearing
08052026 Shift B.xlsmC BMW 420D B-PILLAR_3326,08/05/2026,C BMW 420D B-PILLAR,14:26,10,,BS_230,Welding_Robot,Tooling_Failure,Misalignment,Robot path deviation detected
08052026 Shift B.xlsmC BMW 420D B-PILLAR_3327,08/05/2026,C BMW 420D B-PILLAR,14:40,20,,WS_420,Hydraulic_Press,Material_Failure,Missing_Component,Trainee made the wrong fix
08052026 Shift B.xlsmC BMW 420D B-PILLAR_3328,08/05/2026,C BMW 420D B-PILLAR,14:42,7,,AS_340,Press_Machine,Mechanical_Failure,Motor_Failure,Replaced worn bearing
08052026 Shift B.xlsmC BMW 420D B-PILLAR_3329,08/05/2026,C BMW 420D B-PILLAR,15:59,2,,AS_330,Gluing_Robot,Electrical_Failure,Short_Circuit,Emergency stop triggered
